,Source,Target,type_of_content,created_at,text
35,Franciscereyah1,Uber_Support,Reply,2019-12-28 15:59:14,@Uber_Support https://t.co/eBEhhRUOMg dont you guys recognize this issue?
36,JennaStern,Uber_Support,Reply,2019-12-28 16:20:01,@Uber_Support I’ve been trying for some time to get a response as someone is using my email. I’m getting ride detai… https://t.co/KtrrjqHPBH
37,lizziek9977,Uber_Support,Reply,2019-12-28 16:47:08,@Uber_Support Sent you a DM. Please check thanks
38,Manoj_kat,Uber_Support,Reply,2019-12-28 16:52:21,@Uber_Support Hi my friend Hunny Yadav was travelling in uber cab in Kanpur city. He forget his mobie in cab he was… https://t.co/6kLGXQw5eZ
39,fisaldanhav,Uber_Support,Reply,2019-12-28 17:09:40,@Uber_Support answer me by dm
40,Uber_Support,manekari,Reply,2019-12-28 17:27:36,"@manekari We understand your concern. In order to clear the outstanding charge, please reinstall the app and try re… https://t.co/Yxd9jFvDwH"
41,manekari,Uber_Support,Reply,2019-12-28 17:28:21,@Uber_Support I am following the exact steps. But without reinstalling. I ll try with reinstalling now. Thanks.
42,scribldthoughts,Uber_Support,Reply,2019-12-28 17:41:35,@Uber_Support @Uber_India These 2 drivers accepted the ride. When I called them and told the drop is for Nallasopar… https://t.co/HPIBofNwUA
43,scribldthoughts,Uber_India,Reply,2019-12-28 17:41:35,@Uber_Support @Uber_India These 2 drivers accepted the ride. When I called them and told the drop is for Nallasopar… https://t.co/HPIBofNwUA
44,manekari,Uber_Support,Reply,2019-12-28 18:15:44,@Uber_Support Ok @Uber i tried the suggestion reinstalled the app and still facing the same issue. No matter how ma… https://t.co/pk2xWgLxMT
45,manekari,Uber,Reply,2019-12-28 18:15:44,@Uber_Support Ok @Uber i tried the suggestion reinstalled the app and still facing the same issue. No matter how ma… https://t.co/pk2xWgLxMT
46,Jaya82S,Uber_Support,Reply,2019-12-28 18:21:20,@Uber_Support please check my fare for the trip taken on 27 th December from sector 2 to https://t.co/GpEEbhJI9p th… https://t.co/XpDU8ADpzB
47,budgie1976,Uber_Support,Reply,2019-12-28 18:52:33,@Uber_Support so I work for the NHS go to use my last £10 uber eats voucher today.. The 28th..voucher expires 28th.… https://t.co/5nsnvklAqI
48,Uber_Support,scribldthoughts,Reply,2019-12-28 19:33:28,"@scribldthoughts We understand such issues are never pleasant to deal with, Vicky. Please be assured that we monito… https://t.co/Zg3r84nJ7A"
49,nuts_cracks,Uber_Support,Reply,2019-12-28 19:38:13,@Uber_Support Hi I keep getting notification emails and ride based emails for rides I haven't booked despite writin… https://t.co/0E4i4eBcRE
50,E_Dygert87,Uber_Support,Reply,2019-12-28 19:47:39,@Uber_Support  why don’t it show you order items? https://t.co/YhoHQYHFLt
51,digitalclocktik,Uber_Support,Reply,2019-12-28 20:19:15,@Uber_Support how do I see the promos available to me?
52,Whitney72351908,Uber_Support,Reply,2019-12-28 20:39:16,@Uber_Support I have a promo code from a friend on my first order and it won’t let me apply
53,Uber_Support,Rubyfied,Reply,2019-12-28 21:19:00,@Rubyfied We're here to help make things right! Please send us a DM of the phone number associated with your Uber a… https://t.co/0wDJ8sOQm9
54,Uber_Support,dbaEBONY,Reply,2019-12-28 21:44:04,@dbaEBONY Here to explain. The service fee is the fee Uber charges restaurants to help cover costs such as credit c… https://t.co/hCX0zzVwMg
55,dpaperin,Uber_Support,Reply,2019-12-28 22:56:20,@Uber_Support YOUR SUPPORT SUCKS AND YOU STEAL PEOPLES MONEY!! IF ITEM IS NOT IN BAG WHY IS IT MY FAULT AND I DONT… https://t.co/hJFt7SJn8y
56,ccroft78,Uber_Support,Reply,2019-12-28 23:20:55,@Uber_Support we just ordered food through uber eats and didn't receive our uber rewards. How do I receive those?
57,IsaacPiero2,Uber_Support,Reply,2019-12-28 23:27:17,@Uber_Support 50371906469 and my email tallercaprile@gmail.com
58,ramtweet12,Uber_Support,Reply,2019-12-28 23:39:20,@Uber_Support how to solve this issue. https://t.co/RtscwrFoDF
59,JuansePeralbo,Uber_Support,Reply,2019-12-28 23:43:38,@Uber_Support please answer my message. I am having issues with an uber eats order.
60,LouiseThomasD,Uber_Support,Reply,2019-12-29 00:03:18,"@Uber_Support Hi, I’ve sent you a PM. Can’t log onto my account because of my new phone number. Thanks."
61,anniesmith5992,Uber_Support,Reply,2019-12-29 00:04:23,@Uber_Support can you please help me I received a gift card &amp; added it to my new acct.But when I tried it it won't… https://t.co/qZLm74pcpU
62,Bolt__fx,Uber_Support,Reply,2019-12-29 00:15:13,@Uber_Support @Rubyfied Lmao @Rubyfied they responded
63,Bolt__fx,Rubyfied,Reply,2019-12-29 00:15:13,@Uber_Support @Rubyfied Lmao @Rubyfied they responded
65,Uber_Support,beebs_da_ish,Reply,2019-12-29 00:17:25,@beebs_da_ish We definitely want to follow up. Please provide additional information or details regarding your conc… https://t.co/VT5nuKnHNz
66,JordanMCarson,Uber_Support,Reply,2019-12-29 00:20:02,@Uber_Support I had a Uber driver or keep driving away from me early on and the app is telling me it will charge me… https://t.co/70HfFNvUWd
67,laisfortaleza,Uber_Support,Reply,2019-12-29 00:23:28,@Uber_Support a driver just cancelled on me because of my ESA! https://t.co/FKKLwOC4uH
68,Vanshaj_Verma_,Uber_Support,Reply,2019-12-29 01:16:08,@Uber_Support can't handle the 30 minutes to an hour call waiting to the support when we are promised 24*7 helpline… https://t.co/0GyTsNwJkc
69,beebs_da_ish,Uber_Support,Reply,2019-12-29 01:17:47,@Uber_Support Lmao i will
70,DimitriLyon,Uber_Support,Reply,2019-12-29 01:24:34,@Uber_Support how do you manage to get a complete order wrong? I need immediate assistance.
71,babyhiiippoo14,Uber_Support,Reply,2019-12-29 01:25:06,@Uber_Support at least give us back half our $$$ if the delivery didn’t get delivered!!!!!!! #somebullshit
72,Uber_Support,AlexT,Reply,2019-12-29 01:31:03,"@AlexT We're here to help make things right, @AlexT. We are currently reviewing your concern and will be in touch v… https://t.co/obTpbU2uxz"
74,bijit120,Uber_Support,Reply,2019-12-29 01:34:21,@Uber_Support Your cab did not report and did not contact with me and he started trip without me and he charged....… https://t.co/mQFvceg8aD
75,AlexT,Uber_Support,Reply,2019-12-29 01:36:51,@Uber_Support Can you DM me with some details as to when I should expect a message. Thanks...
76,Taylorlzper1234,Uber_Support,Reply,2019-12-29 02:11:54,"@Uber_Support 
 I was charged twice for the same orden"
77,ZionBenjamin11,Uber_Support,Reply,2019-12-29 02:30:14,@Uber_Support  really could do with some assistance as I can’t order a ride and your app is bringing up a cancelled… https://t.co/Aeh2sC1fWx
78,JerryAltschul,Uber_Support,Reply,2019-12-29 03:48:18,@Uber_Support My wife recently got a new phone and since the Uber app was set up with an old defunct email account… https://t.co/jgtVv1SqoE
79,GoogleMeChris,Uber_Support,Reply,2019-12-29 04:09:29,@Uber_Support why does it always want to take us uptown instead of going across the Holland?? Your prices are now $… https://t.co/F8njtwZenl
80,AjaykGupta1991,Uber_Support,Reply,2019-12-29 04:17:05,"@Uber_Support @Uber 
Hi Team, I have issue with my past trip
I was charged more than my actual fare 
And I am not a… https://t.co/xQvp1vGKXz"
81,AjaykGupta1991,Uber,Reply,2019-12-29 04:17:05,"@Uber_Support @Uber 
Hi Team, I have issue with my past trip
I was charged more than my actual fare 
And I am not a… https://t.co/xQvp1vGKXz"
82,ViperXpyro,Uber_Support,Reply,2019-12-29 04:17:36,@Uber_Support someone registered my email to their account. I can't unregister it because I don't have their phone number. Help please.
83,dbaEBONY,Uber_Support,Reply,2019-12-29 04:21:52,@Uber_Support how does that explain why two different charges that claim to be 15% are for different amounts??
84,mikeyplewis,Uber_Support,Reply,2019-12-29 04:24:45,"@Uber_Support Sorry @uber but the driver CHOSE to that way and to use the toll road. This is utterly unacceptable,… https://t.co/tvf9vCbovf"
85,mikeyplewis,Uber,Reply,2019-12-29 04:24:45,"@Uber_Support Sorry @uber but the driver CHOSE to that way and to use the toll road. This is utterly unacceptable,… https://t.co/tvf9vCbovf"
86,Sayanta64414275,Uber_Support,Reply,2019-12-29 04:35:45,"@Uber_Support 
Yesterday I took uber with my friends, by mistake I left my camera bag in the cab.We Chased the cab… https://t.co/8XCfi5FJ6w"
87,tehtech,Uber_Support,Reply,2019-12-29 05:31:24,@Uber_Support something needs to be done to vet drivers and their vehicles better. I had a driver attempt to pick m… https://t.co/D1c76YKOj1
88,robertaur,Uber_Support,Reply,2019-12-29 05:50:11,@Uber_Support Tried applying my $5 gift as a gold member and it didnt go through with my order and I was charged in… https://t.co/ZhWowtO9Ny
89,Uber_Support,gobluebeth,Reply,2019-12-29 05:54:39,"@gobluebeth Here to explain, @gobluebeth. The Uber app cannot match you with a specific driver. When you request a… https://t.co/zqpBvMyqk4"
91,Iamherod,Uber_Support,Reply,2019-12-29 06:21:46,@Uber_Support can I get help with my uber eats order?
92,OkwuyahNworji,Uber_Support,Reply,2019-12-29 06:22:41,"@Uber_Support dear uber, I want to know other cash and card payment, do uber uses transfer payment?"
93,scribldthoughts,Uber_Support,Reply,2019-12-29 06:29:03,@Uber_Support Your text book replies are no good. Hell with your privacy policies. If I am using your service and p… https://t.co/8ev3hBBXgM
94,Uber_Support,iamnottomgreen,Reply,2019-12-29 07:26:41,@iamnottomgreen We definitely want to get this sorted out. Please send us a DM with the phone number associated wit… https://t.co/m4vkObYLGu
95,Noahbout_it,Uber_Support,Reply,2019-12-29 07:27:37,@Uber_Support had a driver try and steal a phone tonight. Unsure how to submit a complaint.
96,simonwilsonza,Uber_Support,Reply,2019-12-29 07:27:42,@Uber_Support - Do have any companies that supply fresh / uncooked seafood. Oysters and mussels fresh?
97,iamnottomgreen,Uber_Support,Reply,2019-12-29 07:27:47,@Uber_Support That was a Windows joke...
98,ShivakumarHN3,Uber_Support,Reply,2019-12-29 08:27:27,"@Uber_Support 1 item was missing I contacted customer care They didnt respond properly, didnt refund the money whic… https://t.co/wIGUKluYKw"
99,RobertPl9,Uber_Support,Reply,2019-12-29 08:47:33,@Uber_Support Completely disappointed. Repeating the same reply (which happens to take forever)/ not listening to t… https://t.co/VtpHZm3kFb
100,Jaan_Afroz,Uber_Support,Reply,2019-12-29 08:48:01,@Uber_Support poor service representation and hideous way of working. No contact numbers to reach out for resolutio… https://t.co/eGRyeMMB7W
101,swarajsingh735,Uber_Support,Reply,2019-12-29 08:54:43,@Uber_Support I am buying a new car and it is a Hyundai Verna Will she attach to uber?
102,RisDelhi,Uber_Support,Reply,2019-12-29 09:00:08,@Uber_Support  i am really shocked with the behaviour of cab driver number UP16 FT 8714. On asking the cancellation… https://t.co/kVrxpjXKEO
103,PratKar,Uber_Support,Reply,2019-12-29 09:01:52,"@Uber_Support driver overcharged me today. Instead of 18 JOD as was shown on app, he demanded 25 JOD in cash for the trip"
104,jamesmicheallec,Uber_Support,Reply,2019-12-29 09:02:13,"@Uber_Support @Uber hey everyone, so Uber is the worse app to drive on. So I haven’t used Uber in 1 year and I deci… https://t.co/TOc6KPKfC8"
105,jamesmicheallec,Uber,Reply,2019-12-29 09:02:13,"@Uber_Support @Uber hey everyone, so Uber is the worse app to drive on. So I haven’t used Uber in 1 year and I deci… https://t.co/TOc6KPKfC8"
106,NitinDw73394421,Uber_Support,Reply,2019-12-29 09:35:29,@Uber_Support: Worst experience. your driver of car number UP78FN2248 misbehaved and broken my laptop of Rs 55000.… https://t.co/m2NxRECgLO
107,narendrajrajput,Uber_Support,Reply,2019-12-29 09:35:51,@Uber_Support @Uber hey ... Ur cab  showed 2 mins of waiting time .. then it kept increasing from 2-6-8 mins.. then… https://t.co/N2NzfK6PYm
108,narendrajrajput,Uber,Reply,2019-12-29 09:35:51,@Uber_Support @Uber hey ... Ur cab  showed 2 mins of waiting time .. then it kept increasing from 2-6-8 mins.. then… https://t.co/N2NzfK6PYm
109,CarlosP63609209,Uber_Support,Reply,2019-12-29 09:36:21,"@Uber_Support 
Hi the my uber app is not working at all, been 1 hour waiting for offers and not sound at all, every… https://t.co/yYxYt8SsEX"
110,Sindirella_101,Uber_Support,Reply,2019-12-29 10:09:15,@Uber_Support The trip amount was deducted from my bank account before I was picked up. I cancelled this trip and w… https://t.co/Iwmb39Elro
111,jbanksbell,Uber_Support,Reply,2019-12-29 10:12:31,@Uber_Support @UberUKsupport so does gold mean nothing? 4.5 days later and I’m still not getting through about a dr… https://t.co/KzeHa2wLl1
112,jbanksbell,UberUKsupport,Reply,2019-12-29 10:12:31,@Uber_Support @UberUKsupport so does gold mean nothing? 4.5 days later and I’m still not getting through about a dr… https://t.co/KzeHa2wLl1
113,SarcasticSharif,Uber_Support,Reply,2019-12-29 10:46:06,"@Uber_Support @Uber
Driver 1: Started the ride without me.
Driver 2: Cancelled the ride after making me wait for 10… https://t.co/m3v1mBDZx1"
114,SarcasticSharif,Uber,Reply,2019-12-29 10:46:06,"@Uber_Support @Uber
Driver 1: Started the ride without me.
Driver 2: Cancelled the ride after making me wait for 10… https://t.co/m3v1mBDZx1"
115,ekbhartiye007,Uber_Support,Reply,2019-12-29 10:55:11,@Uber_Support how can i talk to customer support in Delhi (INDIA)???
116,BuntySoumya,Uber_Support,Reply,2019-12-29 10:57:05,@Uber_Support I took one of the trips and changed my email id post that. Please help me in getting trip receipt on that mail id
117,MemphisMo85,Uber_Support,Reply,2019-12-29 11:07:08,@Uber_Support I need someone to contact me without the use of a phone.
118,Uber_Support,saj_anderson,Reply,2019-12-29 11:28:03,"@saj_anderson We definitely want to get this sorted out, @saj_anderson. For UK concerns, please send us a note on t… https://t.co/p7nHrzELwB"
120,gangstah_minnie,Uber_Support,Reply,2019-12-29 11:34:38,@Uber_Support  why the hell is it so difficult to reach y’all!!! I’ve been trying to call.
121,ThatTiredOne14,Uber_Support,Reply,2019-12-29 11:37:03,@Uber_Support @saj_anderson I would recommend you send a note to all registered driver advising they cannot cancel… https://t.co/Mp5HSokMiJ
122,ThatTiredOne14,saj_anderson,Reply,2019-12-29 11:37:03,@Uber_Support @saj_anderson I would recommend you send a note to all registered driver advising they cannot cancel… https://t.co/Mp5HSokMiJ
123,vicky_lou11,Uber_Support,Reply,2019-12-29 11:43:16,@Uber_Support the app glitched when I was ordering food and my order was duplicated. Please help as I do not want t… https://t.co/AoaRvEsvtt
124,shoaibkakar,Uber_Support,Reply,2019-12-29 11:52:29,"@Uber_Support hello, for the past few days the dashboard is not allowing me to add more items"
125,Uber_Support,red65reader,Reply,2019-12-29 12:03:01,"@red65reader Here to help, @red65reader. We sent you a DM, kindly check it."
127,red65reader,Uber_Support,Reply,2019-12-29 12:14:40,"@Uber_Support I've seen it, you've returned the £4 your driver stole from me! No intention of using your cowboy out… https://t.co/uIXPCC3xEf"
128,SureshV00545957,Uber_Support,Reply,2019-12-29 12:19:33,"@Uber_Support i was charged cancellation charges as i was not able to cancel. 
The app not working and when i click… https://t.co/Yn5opoWDms"
129,SureshV00545957,Uber_Support,Reply,2019-12-29 12:20:14,@Uber_Support if trip is not jn the deivers way they will force the passenger to cancel the trip.
130,SureshV00545957,Uber_Support,Reply,2019-12-29 12:20:35,@Uber_Support plwase refund the cancellation charges to my account
131,ratan_parmar,Uber_Support,Reply,2019-12-29 12:31:43,@Uber_Support can you help me with my last ride ... your app isn’t helping...
132,U3Development,Uber_Support,Reply,2019-12-29 12:57:55,@Uber_Support told we have to wait 30 days for a refund as you overcharged by £16 for a trip yesterday. Not the best that!! 😡
133,TajinderBagga,TajinderBagga,Tweet,2019-12-29 13:04:43,"A program was organised in CP in  solidarity of CAA.

Some Pakistani Hindus were also present. 

After end of event… https://t.co/UN8Idd5USi"
134,ItsUnico_,Uber_Support,Reply,2019-12-29 13:20:27,"@Uber_Support @Uber_India So my father booked his first Uber ever, and your driver defrauded him by charging cash f… https://t.co/9mNNAdmTof"
135,ItsUnico_,Uber_India,Reply,2019-12-29 13:20:27,"@Uber_Support @Uber_India So my father booked his first Uber ever, and your driver defrauded him by charging cash f… https://t.co/9mNNAdmTof"
136,gobluebeth,Uber_Support,Reply,2019-12-29 13:48:30,@Uber_Support I’m pretty sure someone can develop a way to make this happen. Not exactly reassuring that your respo… https://t.co/bEhA77WIxT
137,ivipankumar,TajinderBagga,Reply,2019-12-29 13:56:37,@TajinderBagga @Uber_India https://t.co/Px2GmYl0f1
138,ivipankumar,Uber_India,Reply,2019-12-29 13:56:37,@TajinderBagga @Uber_India https://t.co/Px2GmYl0f1
139,realchetty,Uber_Support,Reply,2019-12-29 13:57:19,@Uber_Support Ok so this Is how far we've gotten. Absolutely nowhere. Are people actually reading emails before res… https://t.co/IkD4059Zz1
140,KevinL94,Uber_Support,Reply,2019-12-29 14:07:50,"@Uber_Support I earned a reward but when I don’t see on my account. I think there’s an issue with the system, pleas… https://t.co/Cda6uIItMu"
141,2376d31290e44e6,Uber_Support,Reply,2019-12-29 14:12:35,"@Uber_Support I have paid cash to driver 1year ago still i can see due .
Why dont you contact the driver and clear… https://t.co/X64T1wZrkR"
142,travvy1212,Uber_Support,Reply,2019-12-29 14:28:18,"@Uber_Support  literally the worst support for anything, thanks for never helping my issue, just suspend my instant… https://t.co/thCGUazSmi"
143,pujappathak,Uber_Support,Reply,2019-12-29 14:32:54,"@Uber_Support @UberINSupport Today I had booked uber hirego for a round trip, but the trip ended one way and I was… https://t.co/ZL4Uzv3OOB"
144,pujappathak,UberINSupport,Reply,2019-12-29 14:32:54,"@Uber_Support @UberINSupport Today I had booked uber hirego for a round trip, but the trip ended one way and I was… https://t.co/ZL4Uzv3OOB"
145,kanas171,Uber_Support,Reply,2019-12-29 14:37:04,@Uber_Support @Uber_India I booked a cab yesterday using email kanas2000.ak@gmail.com however since the driver was… https://t.co/tnSdNBk1mS
146,kanas171,Uber_India,Reply,2019-12-29 14:37:04,@Uber_Support @Uber_India I booked a cab yesterday using email kanas2000.ak@gmail.com however since the driver was… https://t.co/tnSdNBk1mS
147,AnupSha62696274,Uber_Support,Reply,2019-12-29 14:40:11,@Uber_Support my order replace by other...I order two sbhji but I rcvd thali.any pls connect to me. https://t.co/Wb8FxzF8fY
148,Akin4u2luv,Uber_Support,Reply,2019-12-29 14:42:54,@Uber_Support  Can i make use of ur service to transport my household stuffs from sango otta to cross river state?
149,pelikanhead,Uber_Support,Reply,2019-12-29 14:51:27,@Uber_Support i lost my phone in a car and can’t log in to my account
150,AlitoNet,Uber_Support,Reply,2019-12-29 15:14:58,@Uber_Support I just DMd you. Thanks!!
151,pelmeouchy,Uber_Support,Reply,2019-12-29 15:31:23,@Uber_Support your email team is ignoring the follow ups and keeps closing the case without responding. I have lost… https://t.co/b9QxKsiqzv
152,RahulPadha5,Uber_Support,Reply,2019-12-29 15:42:35,"@Uber_Support @Uber_Kolkata @Uber 
Hello team,i am not able to book a new trip in Uber as my previous trip payment… https://t.co/LIbgPpalV8"
153,RahulPadha5,Uber_Kolkata,Reply,2019-12-29 15:42:35,"@Uber_Support @Uber_Kolkata @Uber 
Hello team,i am not able to book a new trip in Uber as my previous trip payment… https://t.co/LIbgPpalV8"
154,RahulPadha5,Uber,Reply,2019-12-29 15:42:35,"@Uber_Support @Uber_Kolkata @Uber 
Hello team,i am not able to book a new trip in Uber as my previous trip payment… https://t.co/LIbgPpalV8"
155,sickchuck,Uber_Support,Reply,2019-12-29 15:45:57,@Uber_Support  I have seen in the app a one time continuation of my platinum status to be used when I can not acqui… https://t.co/h7kbiITofD
156,JfpFor,Uber_Support,Reply,2019-12-29 15:47:56,@Uber_Support what kind of behaviour is this. If no action is taken we have an alternative @Olacabs Also will sprea… https://t.co/cjFcrEbdxd
157,JfpFor,Olacabs,Reply,2019-12-29 15:47:56,@Uber_Support what kind of behaviour is this. If no action is taken we have an alternative @Olacabs Also will sprea… https://t.co/cjFcrEbdxd
158,Doom_FGC,Uber_Support,Reply,2019-12-29 15:52:11,"@Uber_Support I love y’all, but why did I just pay for a 18$ uber just for it to say my account is declined, but my… https://t.co/SvzOZbdhj0"
159,aaronub4t,Uber_Support,Reply,2019-12-29 16:10:27,"@Uber_Support why is every food outlet near me been unavailable for days? I’ve not been able to order anything, what’s going on?"
160,anshu_sg,Uber_Support,Reply,2019-12-29 16:15:09,"@Uber_Support Again I had a very bad experience with Uber, Driver Arvind Sharma canceled my trip even when he was n… https://t.co/KML6I851tU"
161,JustLovely922,Uber_Support,Reply,2019-12-29 16:16:06,@Uber_Support Is it possible to get support that actually addresses the issue instead of an email response from a t… https://t.co/M9hhG1dN4y
162,imdinkarsharma,Uber_Support,Reply,2019-12-29 16:24:46,@Uber_Support This morning my driver cancelled the trip after we waited for him for 10 minutes. @Uber charges me th… https://t.co/vknS09MZsc
163,imdinkarsharma,Uber,Reply,2019-12-29 16:24:46,@Uber_Support This morning my driver cancelled the trip after we waited for him for 10 minutes. @Uber charges me th… https://t.co/vknS09MZsc
164,SunnyKu16695074,Uber_Support,Reply,2019-12-29 16:25:05,"@Uber_Support 
Please provide your customer care number and your helpline emil ID"
165,echkay96,Uber_Support,Reply,2019-12-29 16:25:27,"@Uber_Support Placed an order 1.5 hours ago and still no delivery guy has been assigned, no point of contact on support page?"
166,9988SARKAR,Uber_Support,Reply,2019-12-29 16:26:14,"@Uber_Support 
Payel has picked uber 2 hours ago, travel distance is only 24min but the rider did not reach destina… https://t.co/maOxDSlMBQ"
167,Pamma430,Uber_Support,Reply,2019-12-29 16:27:03,@Uber_Support I keep getting Uber codes to my phone and I did not order an Uber....this is about the fifth time. So… https://t.co/BaYQMi6MJm
168,Uber_Support,imdinkarsharma,Reply,2019-12-29 16:43:27,"@imdinkarsharma Sorry to hear about the hassle here. If you're charged with any incorrect cancellation charges, dro… https://t.co/nXdwKBFgA7"
169,Chill_Childhood,Uber_Support,Reply,2019-12-29 16:48:42,@Uber_Support  y’all mfs charged me 42.15 for a trip I didn’t take and also charged me 7 and 8 dollars for the canc… https://t.co/ykx4wL1sSv
170,Chill_Childhood,Uber_Support,Reply,2019-12-29 16:49:16,@Uber_Support  I want all my money back on my card ASAP
171,ronyrajputsingh,Uber_Support,Reply,2019-12-29 17:08:11,@Uber_Support are you going to suspend that driver or we will boycott you https://t.co/mGKjMMLDoG
172,mcdowell_pk,Uber_Support,Reply,2019-12-29 17:10:59,@Uber_Support I have not got my problem fixed of looked at? I dont understand
173,MsDoriya,Uber_Support,Reply,2019-12-29 17:13:42,"@Uber_Support 
Uber office is not helping out regarding my uber driver account. Please help me about my uber driver… https://t.co/1iukvclhqG"
174,imdinkarsharma,Uber_Support,Reply,2019-12-29 17:19:14,"@Uber_Support Thanks for the prompt reply. In the help section, I am unable to submit my request. It shows the foll… https://t.co/ITARV9p34Z"
175,Gabriel22180319,Uber_Support,Reply,2019-12-29 17:22:31,@Uber_Support i need help with my uber driver app
176,huzi1502,Uber_Support,Reply,2019-12-29 17:25:27,@Uber_Support @UberINSupport  is there a possibility of a full or a partial waiver of the amt Rs1163.02 as a incent… https://t.co/C0hg8r18xp
177,huzi1502,UberINSupport,Reply,2019-12-29 17:25:27,@Uber_Support @UberINSupport  is there a possibility of a full or a partial waiver of the amt Rs1163.02 as a incent… https://t.co/C0hg8r18xp
